id;created_at;retweet_count
8.543211900259983e+17;Tue Apr 18 13:10:18 +0000 2017;0.0
8.543221451655496e+17;Tue Apr 18 13:14:06 +0000 2017;0.0
8.543638263341752e+17;Tue Apr 18 15:59:44 +0000 2017;1.0
8.543199516282143e+17;Tue Apr 18 13:05:23 +0000 2017;0.0
8.543193175125893e+17;Tue Apr 18 13:02:52 +0000 2017;0.0
8.543261600665805e+17;Tue Apr 18 13:30:03 +0000 2017;0.0
8.543523459536527e+17;Tue Apr 18 15:14:07 +0000 2017;0.0
8.543126588242452e+17;Tue Apr 18 12:36:24 +0000 2017;0.0
8.543151447293297e+17;Tue Apr 18 12:46:17 +0000 2017;0.0
8.543105072050545e+17;Tue Apr 18 12:27:51 +0000 2017;0.0
8.543549064502395e+17;Tue Apr 18 15:24:17 +0000 2017;8.0
8.543638060547236e+17;Tue Apr 18 15:59:39 +0000 2017;0.0
8.54356837797417e+17;Tue Apr 18 15:31:57 +0000 2017;0.0
8.543320949016576e+17;Tue Apr 18 13:53:38 +0000 2017;0.0
8.54352440359039e+17;Tue Apr 18 15:14:29 +0000 2017;0.0
8.543156281398272e+17;Tue Apr 18 12:48:12 +0000 2017;0.0
8.543580846088274e+17;Tue Apr 18 15:36:55 +0000 2017;2.0
8.543583816114668e+17;Tue Apr 18 15:38:06 +0000 2017;0.0
8.543518073840927e+17;Tue Apr 18 15:11:58 +0000 2017;0.0
8.543134029901988e+17;Tue Apr 18 12:39:22 +0000 2017;0.0
8.54356964285055e+17;Tue Apr 18 15:32:28 +0000 2017;0.0
8.543484046584955e+17;Tue Apr 18 14:58:27 +0000 2017;8.0
8.543187631219671e+17;Tue Apr 18 13:00:40 +0000 2017;0.0
8.543220989443236e+17;Tue Apr 18 13:13:55 +0000 2017;0.0
8.543177047146086e+17;Tue Apr 18 12:56:27 +0000 2017;0.0
8.543199575549911e+17;Tue Apr 18 13:05:25 +0000 2017;0.0
8.543115447540122e+17;Tue Apr 18 12:31:59 +0000 2017;0.0
8.543601785060393e+17;Tue Apr 18 15:45:14 +0000 2017;0.0
8.543616251967652e+17;Tue Apr 18 15:50:59 +0000 2017;0.0
8.543078315410924e+17;Tue Apr 18 12:17:13 +0000 2017;0.0
8.543574621614694e+17;Tue Apr 18 15:34:26 +0000 2017;17.0
8.543500807693926e+17;Tue Apr 18 15:05:06 +0000 2017;0.0
8.543530266555679e+17;Tue Apr 18 15:16:49 +0000 2017;0.0
8.543197683456246e+17;Tue Apr 18 13:04:39 +0000 2017;0.0
8.543299885976904e+17;Tue Apr 18 13:45:16 +0000 2017;0.0
8.54325746042626e+17;Tue Apr 18 13:28:25 +0000 2017;0.0
8.543161533840507e+17;Tue Apr 18 12:50:18 +0000 2017;0.0
8.543086650246922e+17;Tue Apr 18 12:20:32 +0000 2017;8.0
8.543596790315377e+17;Tue Apr 18 15:43:15 +0000 2017;0.0
8.543214451108618e+17;Tue Apr 18 13:11:19 +0000 2017;0.0
8.543109052361318e+17;Tue Apr 18 12:29:26 +0000 2017;0.0
8.543136261312348e+17;Tue Apr 18 12:40:15 +0000 2017;0.0
8.543321880992154e+17;Tue Apr 18 13:54:01 +0000 2017;0.0
8.543262649157796e+17;Tue Apr 18 13:30:28 +0000 2017;0.0
8.54351370320728e+17;Tue Apr 18 15:10:14 +0000 2017;2.0
8.543077778204508e+17;Tue Apr 18 12:17:01 +0000 2017;0.0
8.543480510870651e+17;Tue Apr 18 14:57:03 +0000 2017;0.0
8.543191564596552e+17;Tue Apr 18 13:02:14 +0000 2017;0.0
8.543493808449577e+17;Tue Apr 18 15:02:20 +0000 2017;0.0
8.543207357702922e+17;Tue Apr 18 13:08:30 +0000 2017;0.0
8.543220539981619e+17;Tue Apr 18 13:13:44 +0000 2017;0.0
8.543489689558712e+17;Tue Apr 18 15:00:41 +0000 2017;1.0
8.543274298374717e+17;Tue Apr 18 13:35:06 +0000 2017;0.0
8.543124135119954e+17;Tue Apr 18 12:35:26 +0000 2017;0.0
8.543199084478464e+17;Tue Apr 18 13:05:13 +0000 2017;0.0
8.543143565442417e+17;Tue Apr 18 12:43:09 +0000 2017;0.0
8.543161429655101e+17;Tue Apr 18 12:50:15 +0000 2017;0.0
8.543574185741926e+17;Tue Apr 18 15:34:16 +0000 2017;47.0
8.543537003070505e+17;Tue Apr 18 15:19:29 +0000 2017;0.0
8.543561051741676e+17;Tue Apr 18 15:29:03 +0000 2017;0.0
8.543298979713638e+17;Tue Apr 18 13:44:55 +0000 2017;0.0
8.54321189891842e+17;Tue Apr 18 13:10:18 +0000 2017;0.0
8.54360193223848e+17;Tue Apr 18 15:45:17 +0000 2017;0.0
8.543123596907192e+17;Tue Apr 18 12:35:13 +0000 2017;0.0
8.543300549683446e+17;Tue Apr 18 13:45:32 +0000 2017;0.0
8.54358156998316e+17;Tue Apr 18 15:37:12 +0000 2017;0.0
8.543617851719434e+17;Tue Apr 18 15:51:37 +0000 2017;0.0
8.543115609987891e+17;Tue Apr 18 12:32:03 +0000 2017;0.0
8.543491264141189e+17;Tue Apr 18 15:01:19 +0000 2017;0.0
8.543108630917161e+17;Tue Apr 18 12:29:16 +0000 2017;0.0
8.543324619244052e+17;Tue Apr 18 13:55:06 +0000 2017;0.0
8.543204487499244e+17;Tue Apr 18 13:07:22 +0000 2017;0.0
8.543128622310359e+17;Tue Apr 18 12:37:13 +0000 2017;0.0
8.543299432824177e+17;Tue Apr 18 13:45:05 +0000 2017;0.0
8.543211483890729e+17;Tue Apr 18 13:10:08 +0000 2017;0.0
8.543099209755935e+17;Tue Apr 18 12:25:32 +0000 2017;0.0
8.543624296643953e+17;Tue Apr 18 15:54:11 +0000 2017;0.0
8.543318395862098e+17;Tue Apr 18 13:52:37 +0000 2017;0.0
8.543606461960479e+17;Tue Apr 18 15:47:05 +0000 2017;0.0
8.543557152254198e+17;Tue Apr 18 15:27:30 +0000 2017;0.0
8.5435224801246e+17;Tue Apr 18 15:13:43 +0000 2017;0.0
8.543480850900664e+17;Tue Apr 18 14:57:11 +0000 2017;0.0
8.543565690012508e+17;Tue Apr 18 15:30:53 +0000 2017;0.0
8.54308943782445e+17;Tue Apr 18 12:21:39 +0000 2017;1.0
8.543223571204014e+17;Tue Apr 18 13:14:57 +0000 2017;0.0
8.543568891062518e+17;Tue Apr 18 15:32:10 +0000 2017;0.0
8.543489622450954e+17;Tue Apr 18 15:00:40 +0000 2017;0.0
8.543226058802463e+17;Tue Apr 18 13:15:56 +0000 2017;0.0
8.543497217285038e+17;Tue Apr 18 15:03:41 +0000 2017;0.0
8.543269052014592e+17;Tue Apr 18 13:33:01 +0000 2017;0.0
8.543171572822303e+17;Tue Apr 18 12:54:17 +0000 2017;0.0
8.543325335589642e+17;Tue Apr 18 13:55:23 +0000 2017;0.0
8.543556370561352e+17;Tue Apr 18 15:27:11 +0000 2017;0.0
8.543554013070418e+17;Tue Apr 18 15:26:15 +0000 2017;1.0
8.543596570575299e+17;Tue Apr 18 15:43:10 +0000 2017;0.0
8.543312639725158e+17;Tue Apr 18 13:50:20 +0000 2017;0.0
8.543182431835136e+17;Tue Apr 18 12:58:36 +0000 2017;0.0
8.543524742071337e+17;Tue Apr 18 15:14:37 +0000 2017;0.0
8.543143789124485e+17;Tue Apr 18 12:43:14 +0000 2017;0.0
8.543752223210414e+17;Tue Apr 18 16:45:01 +0000 2017;11.0
8.543669731401196e+17;Tue Apr 18 16:12:14 +0000 2017;0.0
8.543833463564124e+17;Tue Apr 18 17:17:18 +0000 2017;0.0
8.543669454283366e+17;Tue Apr 18 16:12:07 +0000 2017;0.0
8.543669624655913e+17;Tue Apr 18 16:12:11 +0000 2017;0.0
8.54366968195031e+17;Tue Apr 18 16:12:13 +0000 2017;0.0
8.543741304011244e+17;Tue Apr 18 16:40:40 +0000 2017;0.0
8.543833463270769e+17;Tue Apr 18 17:17:18 +0000 2017;0.0
8.543812147440517e+17;Tue Apr 18 17:08:49 +0000 2017;0.0
8.543683506753659e+17;Tue Apr 18 16:17:42 +0000 2017;0.0
8.543824106366362e+17;Tue Apr 18 17:13:35 +0000 2017;0.0
8.543769262570496e+17;Tue Apr 18 16:51:47 +0000 2017;0.0
8.543669546558013e+17;Tue Apr 18 16:12:10 +0000 2017;0.0
8.543792855572603e+17;Tue Apr 18 17:01:09 +0000 2017;1.0
8.543669416492728e+17;Tue Apr 18 16:12:06 +0000 2017;0.0
8.543773400419246e+17;Tue Apr 18 16:53:26 +0000 2017;0.0
8.543804448123617e+17;Tue Apr 18 17:05:46 +0000 2017;0.0
8.543752701361193e+17;Tue Apr 18 16:45:12 +0000 2017;0.0
8.543785529800991e+17;Tue Apr 18 16:58:15 +0000 2017;2.0
8.543669562706166e+17;Tue Apr 18 16:12:10 +0000 2017;0.0
8.543676917375754e+17;Tue Apr 18 16:15:05 +0000 2017;0.0
8.543669467830559e+17;Tue Apr 18 16:12:08 +0000 2017;0.0
8.543669640426742e+17;Tue Apr 18 16:12:12 +0000 2017;0.0
8.543644518557532e+17;Tue Apr 18 16:02:13 +0000 2017;0.0
8.543730921891308e+17;Tue Apr 18 16:36:33 +0000 2017;0.0
8.54366149718442e+17;Tue Apr 18 16:08:58 +0000 2017;4.0
8.543809532125307e+17;Tue Apr 18 17:07:47 +0000 2017;0.0
8.543742008023695e+17;Tue Apr 18 16:40:57 +0000 2017;1.0
8.54366976487166e+17;Tue Apr 18 16:12:15 +0000 2017;0.0
8.543669582796841e+17;Tue Apr 18 16:12:10 +0000 2017;0.0
8.543799274702111e+17;Tue Apr 18 17:03:42 +0000 2017;0.0
8.54366951736574e+17;Tue Apr 18 16:12:09 +0000 2017;0.0
8.543669485320724e+17;Tue Apr 18 16:12:08 +0000 2017;0.0
8.543669435199242e+17;Tue Apr 18 16:12:07 +0000 2017;0.0
8.543668098975826e+17;Tue Apr 18 16:11:35 +0000 2017;0.0
8.543759797451325e+17;Tue Apr 18 16:48:01 +0000 2017;0.0
8.543669531289846e+17;Tue Apr 18 16:12:09 +0000 2017;0.0
8.543669714413609e+17;Tue Apr 18 16:12:14 +0000 2017;1.0
8.543666938160988e+17;Tue Apr 18 16:11:07 +0000 2017;0.0
8.543804480169861e+17;Tue Apr 18 17:05:47 +0000 2017;0.0
8.543654854036972e+17;Tue Apr 18 16:06:19 +0000 2017;0.0
8.543795038330143e+17;Tue Apr 18 17:02:01 +0000 2017;0.0
8.543811350859325e+17;Tue Apr 18 17:08:30 +0000 2017;0.0
8.543673032022548e+17;Tue Apr 18 16:13:33 +0000 2017;0.0
8.543806940295987e+17;Tue Apr 18 17:06:45 +0000 2017;0.0
8.543806372092436e+17;Tue Apr 18 17:06:32 +0000 2017;0.0
8.543800151395983e+17;Tue Apr 18 17:04:03 +0000 2017;0.0
8.543669820278497e+17;Tue Apr 18 16:12:16 +0000 2017;0.0
8.543798202511032e+17;Tue Apr 18 17:03:17 +0000 2017;0.0
8.543783814456648e+17;Tue Apr 18 16:57:34 +0000 2017;0.0
8.543669785087713e+17;Tue Apr 18 16:12:15 +0000 2017;0.0
8.543804479960146e+17;Tue Apr 18 17:05:47 +0000 2017;0.0
8.543737176102461e+17;Tue Apr 18 16:39:02 +0000 2017;2.0
8.54367070082945e+17;Tue Apr 18 16:12:37 +0000 2017;0.0
8.543739978818683e+17;Tue Apr 18 16:40:09 +0000 2017;0.0
8.543663460159816e+17;Tue Apr 18 16:09:44 +0000 2017;0.0
8.543669750610862e+17;Tue Apr 18 16:12:14 +0000 2017;0.0
8.543665010836767e+17;Tue Apr 18 16:10:21 +0000 2017;0.0
8.543669802662216e+17;Tue Apr 18 16:12:16 +0000 2017;0.0
8.543666417229292e+17;Tue Apr 18 16:10:55 +0000 2017;0.0
8.543669661061612e+17;Tue Apr 18 16:12:12 +0000 2017;0.0
8.54375450759639e+17;Tue Apr 18 16:45:55 +0000 2017;1.0
8.543669501468795e+17;Tue Apr 18 16:12:08 +0000 2017;0.0
8.543669602132173e+17;Tue Apr 18 16:12:11 +0000 2017;0.0
8.543669400596234e+17;Tue Apr 18 16:12:06 +0000 2017;0.0
8.543822411279729e+17;Tue Apr 18 17:12:54 +0000 2017;0.0
8.543729916096143e+17;Tue Apr 18 16:36:09 +0000 2017;0.0
