;time_stamp;Name;Kernel;gamma;C;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
0;2017_08_04_19:23:38;SVC;linear;1.0;1000.0;950.0;993.0;441.0;392.0;345.0;313.0;79.0;96.0;78.99;57.94;0.78;0.2;0.81;0.78;0.79;0.8;0.22;0.77;0.8;0.78
1;2017_08_04_19:23:38;SVC;poly;1.0;1000.0;950.0;993.0;441.0;392.0;144.0;371.0;21.0;297.0;61.82;26.27;0.33;0.05;0.87;0.33;0.48;0.95;0.67;0.56;0.95;0.7
2;2017_08_04_19:23:38;SVC;rbf;1.0;1000.0;950.0;993.0;441.0;392.0;92.0;388.0;4.0;349.0;57.62;18.92;0.21;0.01;0.96;0.21;0.34;0.99;0.79;0.53;0.99;0.69
3;2017_08_04_19:23:38;SVC;sigmoid;1.0;1000.0;950.0;993.0;441.0;392.0;92.0;388.0;4.0;349.0;57.62;18.92;0.21;0.01;0.96;0.21;0.34;0.99;0.79;0.53;0.99;0.69
4;2017_08_04_09:14:36;SVC;linear;10000.0;1000.0;946.0;997.0;445.0;388.0;322.0;337.0;51.0;123.0;79.11;58.52;0.72;0.13;0.86;0.72;0.78;0.87;0.28;0.73;0.87;0.79
5;2017_08_04_09:14:36;SVC;poly;10000.0;1000.0;946.0;997.0;445.0;388.0;130.0;372.0;16.0;315.0;60.26;23.91;0.29;0.04;0.89;0.29;0.44;0.96;0.71;0.54;0.96;0.69
6;2017_08_04_09:14:36;SVC;rbf;10000.0;1000.0;946.0;997.0;445.0;388.0;9.0;388.0;0.0;436.0;47.66;1.89;0.02;0.0;1.0;0.02;0.04;1.0;0.98;0.47;1.0;0.64
7;2017_08_04_09:14:36;SVC;sigmoid;10000.0;1000.0;946.0;997.0;445.0;388.0;9.0;388.0;0.0;436.0;47.66;1.89;0.02;0.0;1.0;0.02;0.04;1.0;0.98;0.47;1.0;0.64
8;2017_08_04_09:11:53;SVC;linear;1000.0;1000.0;977.0;966.0;414.0;419.0;328.0;352.0;67.0;86.0;81.63;63.25;0.79;0.16;0.83;0.79;0.81;0.84;0.21;0.8;0.84;0.82
9;2017_08_04_09:11:53;SVC;poly;1000.0;1000.0;977.0;966.0;414.0;419.0;145.0;404.0;15.0;269.0;65.91;31.56;0.35;0.04;0.91;0.35;0.51;0.96;0.65;0.6;0.96;0.74
10;2017_08_04_09:11:53;SVC;rbf;1000.0;1000.0;977.0;966.0;414.0;419.0;414.0;11.0;408.0;0.0;51.02;2.61;1.0;0.97;0.5;1.0;0.67;0.03;0.0;1.0;0.03;0.06
11;2017_08_04_09:11:53;SVC;sigmoid;1000.0;1000.0;977.0;966.0;414.0;419.0;414.0;11.0;408.0;0.0;51.02;2.61;1.0;0.97;0.5;1.0;0.67;0.03;0.0;1.0;0.03;0.06
12;2017_08_04_09:09:18;SVC;linear;100.0;1000.0;991.0;952.0;400.0;433.0;302.0;365.0;68.0;98.0;80.07;59.97;0.76;0.16;0.82;0.76;0.79;0.84;0.24;0.79;0.84;0.81
13;2017_08_04_09:09:18;SVC;poly;100.0;1000.0;991.0;952.0;400.0;433.0;147.0;409.0;24.0;253.0;66.75;31.9;0.37;0.06;0.86;0.37;0.52;0.94;0.63;0.62;0.94;0.75
14;2017_08_04_09:09:18;SVC;rbf;100.0;1000.0;991.0;952.0;400.0;433.0;400.0;11.0;422.0;0.0;49.34;2.44;1.0;0.97;0.49;1.0;0.66;0.03;0.0;1.0;0.03;0.06
15;2017_08_04_09:09:18;SVC;sigmoid;100.0;1000.0;991.0;952.0;400.0;433.0;400.0;11.0;422.0;0.0;49.34;2.44;1.0;0.97;0.49;1.0;0.66;0.03;0.0;1.0;0.03;0.06
16;2017_08_04_09:06:30;SVC;linear;10.0;1000.0;979.0;964.0;412.0;421.0;307.0;346.0;75.0;105.0;78.39;56.74;0.75;0.18;0.8;0.75;0.77;0.82;0.25;0.77;0.82;0.79
17;2017_08_04_09:06:30;SVC;poly;10.0;1000.0;979.0;964.0;412.0;421.0;136.0;402.0;19.0;276.0;64.59;28.69;0.33;0.05;0.88;0.33;0.48;0.95;0.67;0.59;0.95;0.73
18;2017_08_04_09:06:30;SVC;rbf;10.0;1000.0;979.0;964.0;412.0;421.0;412.0;10.0;411.0;0.0;50.66;2.35;1.0;0.98;0.5;1.0;0.67;0.02;0.0;1.0;0.02;0.04
19;2017_08_04_09:06:30;SVC;sigmoid;10.0;1000.0;979.0;964.0;412.0;421.0;412.0;10.0;411.0;0.0;50.66;2.35;1.0;0.98;0.5;1.0;0.67;0.02;0.0;1.0;0.02;0.04
20;2017_08_04_09:03:06;SVC;linear;1.0;1000.0;959.0;984.0;432.0;401.0;342.0;335.0;66.0;90.0;81.27;62.57;0.79;0.16;0.84;0.79;0.81;0.84;0.21;0.79;0.84;0.81
21;2017_08_04_09:03:06;SVC;poly;1.0;1000.0;959.0;984.0;432.0;401.0;120.0;392.0;9.0;312.0;61.46;24.86;0.28;0.02;0.93;0.28;0.43;0.98;0.72;0.56;0.98;0.71
22;2017_08_04_09:03:06;SVC;rbf;1.0;1000.0;959.0;984.0;432.0;401.0;136.0;395.0;6.0;296.0;63.75;29.23;0.31;0.01;0.96;0.31;0.47;0.99;0.69;0.57;0.99;0.72
23;2017_08_04_09:03:06;SVC;sigmoid;1.0;1000.0;959.0;984.0;432.0;401.0;136.0;395.0;6.0;296.0;63.75;29.23;0.31;0.01;0.96;0.31;0.47;0.99;0.69;0.57;0.99;0.72
24;2017_08_04_09:00:13;SVC;linear;10000.0;1000.0;976.0;967.0;415.0;418.0;303.0;358.0;60.0;112.0;79.35;58.68;0.73;0.14;0.83;0.73;0.78;0.86;0.27;0.76;0.86;0.81
25;2017_08_04_09:00:13;SVC;poly;10000.0;1000.0;976.0;967.0;415.0;418.0;118.0;408.0;10.0;297.0;63.15;26.11;0.28;0.02;0.92;0.28;0.43;0.98;0.72;0.58;0.98;0.73
26;2017_08_04_09:00:13;SVC;rbf;10000.0;1000.0;976.0;967.0;415.0;418.0;415.0;10.0;408.0;0.0;51.02;2.38;1.0;0.98;0.5;1.0;0.67;0.02;0.0;1.0;0.02;0.04
27;2017_08_04_09:00:13;SVC;sigmoid;10000.0;1000.0;976.0;967.0;415.0;418.0;415.0;10.0;408.0;0.0;51.02;2.38;1.0;0.98;0.5;1.0;0.67;0.02;0.0;1.0;0.02;0.04
28;2017_08_04_08:57:28;SVC;linear;1000.0;1000.0;983.0;960.0;408.0;425.0;306.0;365.0;60.0;102.0;80.55;61.01;0.75;0.14;0.84;0.75;0.79;0.86;0.25;0.78;0.86;0.82
29;2017_08_04_08:57:28;SVC;poly;1000.0;1000.0;983.0;960.0;408.0;425.0;115.0;413.0;12.0;293.0;63.39;25.72;0.28;0.03;0.91;0.28;0.43;0.97;0.72;0.58;0.97;0.73
30;2017_08_04_08:57:28;SVC;rbf;1000.0;1000.0;983.0;960.0;408.0;425.0;407.0;10.0;415.0;1.0;50.06;2.07;1.0;0.98;0.5;1.0;0.67;0.02;0.0;0.91;0.02;0.04
31;2017_08_04_08:57:28;SVC;sigmoid;1000.0;1000.0;983.0;960.0;408.0;425.0;407.0;10.0;415.0;1.0;50.06;2.07;1.0;0.98;0.5;1.0;0.67;0.02;0.0;0.91;0.02;0.04
32;2017_08_04_08:54:46;SVC;linear;100.0;1000.0;966.0;977.0;425.0;408.0;314.0;340.0;68.0;111.0;78.51;57.1;0.74;0.17;0.82;0.74;0.78;0.83;0.26;0.75;0.83;0.79
33;2017_08_04_08:54:46;SVC;poly;100.0;1000.0;966.0;977.0;425.0;408.0;131.0;384.0;24.0;294.0;61.82;24.62;0.31;0.06;0.85;0.31;0.45;0.94;0.69;0.57;0.94;0.71
34;2017_08_04_08:54:46;SVC;rbf;100.0;1000.0;966.0;977.0;425.0;408.0;13.0;407.0;1.0;412.0;50.42;2.76;0.03;0.0;0.93;0.03;0.06;1.0;0.97;0.5;1.0;0.67
35;2017_08_04_08:54:46;SVC;sigmoid;100.0;1000.0;966.0;977.0;425.0;408.0;13.0;407.0;1.0;412.0;50.42;2.76;0.03;0.0;0.93;0.03;0.06;1.0;0.97;0.5;1.0;0.67
36;2017_08_04_08:52:00;SVC;linear;10.0;1000.0;963.0;980.0;428.0;405.0;314.0;343.0;62.0;114.0;78.87;57.86;0.73;0.15;0.84;0.73;0.78;0.85;0.27;0.75;0.85;0.8
37;2017_08_04_08:52:00;SVC;poly;10.0;1000.0;963.0;980.0;428.0;405.0;130.0;390.0;15.0;298.0;62.42;26.18;0.3;0.04;0.9;0.3;0.45;0.96;0.7;0.57;0.96;0.72
38;2017_08_04_08:52:00;SVC;rbf;10.0;1000.0;963.0;980.0;428.0;405.0;15.0;405.0;0.0;413.0;50.42;3.41;0.04;0.0;1.0;0.04;0.08;1.0;0.96;0.5;1.0;0.67
39;2017_08_04_08:52:00;SVC;sigmoid;10.0;1000.0;963.0;980.0;428.0;405.0;15.0;405.0;0.0;413.0;50.42;3.41;0.04;0.0;1.0;0.04;0.08;1.0;0.96;0.5;1.0;0.67
40;2017_08_04_08:49:17;SVC;linear;1.0;1000.0;949.0;994.0;442.0;391.0;327.0;330.0;61.0;115.0;78.87;57.92;0.74;0.16;0.84;0.74;0.79;0.84;0.26;0.74;0.84;0.79
41;2017_08_04_08:49:17;SVC;poly;1.0;1000.0;949.0;994.0;442.0;391.0;153.0;374.0;17.0;289.0;63.27;29.1;0.35;0.04;0.9;0.35;0.5;0.96;0.65;0.56;0.96;0.71
42;2017_08_04_08:49:17;SVC;rbf;1.0;1000.0;949.0;994.0;442.0;391.0;70.0;387.0;4.0;372.0;54.86;14.05;0.16;0.01;0.95;0.16;0.27;0.99;0.84;0.51;0.99;0.67
43;2017_08_04_08:49:17;SVC;sigmoid;1.0;1000.0;949.0;994.0;442.0;391.0;70.0;387.0;4.0;372.0;54.86;14.05;0.16;0.01;0.95;0.16;0.27;0.99;0.84;0.51;0.99;0.67
44;2017_08_03_14:08:39;SVC;linear;10000.0;1000.0;963.0;980.0;428.0;405.0;345.0;340.0;65.0;83.0;82.23;64.48;0.81;0.16;0.84;0.81;0.82;0.84;0.19;0.8;0.84;0.82
45;2017_08_03_14:08:39;SVC;poly;10000.0;1000.0;963.0;980.0;428.0;405.0;127.0;386.0;19.0;301.0;61.58;24.52;0.3;0.05;0.87;0.3;0.45;0.95;0.7;0.56;0.95;0.7
46;2017_08_03_14:08:39;SVC;rbf;10000.0;1000.0;963.0;980.0;428.0;405.0;12.0;405.0;0.0;416.0;50.06;2.73;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.49;1.0;0.66
47;2017_08_03_14:08:39;SVC;sigmoid;10000.0;1000.0;963.0;980.0;428.0;405.0;12.0;405.0;0.0;416.0;50.06;2.73;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.49;1.0;0.66
48;2017_08_03_14:06:10;SVC;linear;1000.0;1000.0;975.0;968.0;416.0;417.0;307.0;354.0;63.0;109.0;79.35;58.7;0.74;0.15;0.83;0.74;0.78;0.85;0.26;0.76;0.85;0.8
49;2017_08_03_14:06:10;SVC;poly;1000.0;1000.0;975.0;968.0;416.0;417.0;128.0;399.0;18.0;288.0;63.27;26.47;0.31;0.04;0.88;0.31;0.46;0.96;0.69;0.58;0.96;0.72
50;2017_08_03_14:06:10;SVC;rbf;1000.0;1000.0;975.0;968.0;416.0;417.0;415.0;7.0;410.0;1.0;50.66;1.44;1.0;0.98;0.5;1.0;0.67;0.02;0.0;0.88;0.02;0.04
51;2017_08_03_14:06:10;SVC;sigmoid;1000.0;1000.0;975.0;968.0;416.0;417.0;415.0;7.0;410.0;1.0;50.66;1.44;1.0;0.98;0.5;1.0;0.67;0.02;0.0;0.88;0.02;0.04
52;2017_08_03_14:03:36;SVC;linear;100.0;1000.0;964.0;979.0;427.0;406.0;328.0;357.0;49.0;99.0;82.23;64.55;0.77;0.12;0.87;0.77;0.82;0.88;0.23;0.78;0.88;0.83
53;2017_08_03_14:03:36;SVC;poly;100.0;1000.0;964.0;979.0;427.0;406.0;151.0;387.0;19.0;276.0;64.59;30.21;0.35;0.05;0.89;0.35;0.5;0.95;0.65;0.58;0.95;0.72
54;2017_08_03_14:03:36;SVC;rbf;100.0;1000.0;964.0;979.0;427.0;406.0;17.0;406.0;0.0;410.0;50.78;3.88;0.04;0.0;1.0;0.04;0.08;1.0;0.96;0.5;1.0;0.67
55;2017_08_03_14:03:36;SVC;sigmoid;100.0;1000.0;964.0;979.0;427.0;406.0;17.0;406.0;0.0;410.0;50.78;3.88;0.04;0.0;1.0;0.04;0.08;1.0;0.96;0.5;1.0;0.67
56;2017_08_03_14:00:53;SVC;linear;10.0;1000.0;975.0;968.0;416.0;417.0;321.0;343.0;74.0;95.0;79.71;59.42;0.77;0.18;0.81;0.77;0.79;0.82;0.23;0.78;0.82;0.8
57;2017_08_03_14:00:53;SVC;poly;10.0;1000.0;975.0;968.0;416.0;417.0;139.0;398.0;19.0;277.0;64.47;28.88;0.33;0.05;0.88;0.33;0.48;0.95;0.67;0.59;0.95;0.73
58;2017_08_03_14:00:53;SVC;rbf;10.0;1000.0;975.0;968.0;416.0;417.0;416.0;11.0;406.0;0.0;51.26;2.63;1.0;0.97;0.51;1.0;0.68;0.03;0.0;1.0;0.03;0.06
59;2017_08_03_14:00:53;SVC;sigmoid;10.0;1000.0;975.0;968.0;416.0;417.0;416.0;11.0;406.0;0.0;51.26;2.63;1.0;0.97;0.51;1.0;0.68;0.03;0.0;1.0;0.03;0.06
60;2017_08_03_13:58:24;SVC;linear;1.0;1000.0;973.0;970.0;418.0;415.0;310.0;357.0;58.0;108.0;80.07;60.16;0.74;0.14;0.84;0.74;0.79;0.86;0.26;0.77;0.86;0.81
61;2017_08_03_13:58:24;SVC;poly;1.0;1000.0;973.0;970.0;418.0;415.0;124.0;404.0;11.0;294.0;63.39;26.95;0.3;0.03;0.92;0.3;0.45;0.97;0.7;0.58;0.97;0.73
62;2017_08_03_13:58:24;SVC;rbf;1.0;1000.0;973.0;970.0;418.0;415.0;350.0;143.0;272.0;68.0;59.18;18.22;0.84;0.66;0.56;0.84;0.67;0.34;0.16;0.68;0.34;0.45
63;2017_08_03_13:58:24;SVC;sigmoid;1.0;1000.0;973.0;970.0;418.0;415.0;350.0;143.0;272.0;68.0;59.18;18.22;0.84;0.66;0.56;0.84;0.67;0.34;0.16;0.68;0.34;0.45
64;2017_08_03_12:43:22;SVC;linear;10000.0;1000.0;968.0;975.0;423.0;410.0;310.0;358.0;52.0;113.0;80.19;60.46;0.73;0.13;0.86;0.73;0.79;0.87;0.27;0.76;0.87;0.81
65;2017_08_03_12:43:22;SVC;poly;10000.0;1000.0;968.0;975.0;423.0;410.0;131.0;391.0;19.0;292.0;62.67;26.07;0.31;0.05;0.87;0.31;0.46;0.95;0.69;0.57;0.95;0.71
66;2017_08_03_12:43:22;SVC;rbf;10000.0;1000.0;968.0;975.0;423.0;410.0;15.0;409.0;1.0;408.0;50.9;3.25;0.04;0.0;0.94;0.04;0.08;1.0;0.96;0.5;1.0;0.67
67;2017_08_03_12:43:22;SVC;sigmoid;10000.0;1000.0;968.0;975.0;423.0;410.0;15.0;409.0;1.0;408.0;50.9;3.25;0.04;0.0;0.94;0.04;0.08;1.0;0.96;0.5;1.0;0.67
68;2017_08_03_12:40:32;SVC;linear;1000.0;1000.0;984.0;959.0;407.0;426.0;308.0;371.0;55.0;99.0;81.51;62.92;0.76;0.13;0.85;0.76;0.8;0.87;0.24;0.79;0.87;0.83
69;2017_08_03_12:40:32;SVC;poly;1000.0;1000.0;984.0;959.0;407.0;426.0;127.0;409.0;17.0;280.0;64.35;27.61;0.31;0.04;0.88;0.31;0.46;0.96;0.69;0.59;0.96;0.73
70;2017_08_03_12:40:32;SVC;rbf;1000.0;1000.0;984.0;959.0;407.0;426.0;407.0;15.0;411.0;0.0;50.66;3.44;1.0;0.96;0.5;1.0;0.67;0.04;0.0;1.0;0.04;0.08
71;2017_08_03_12:40:32;SVC;sigmoid;1000.0;1000.0;984.0;959.0;407.0;426.0;407.0;15.0;411.0;0.0;50.66;3.44;1.0;0.96;0.5;1.0;0.67;0.04;0.0;1.0;0.04;0.08
72;2017_08_03_12:37:03;SVC;linear;100.0;1000.0;979.0;964.0;412.0;421.0;323.0;357.0;64.0;89.0;81.63;63.24;0.78;0.15;0.83;0.78;0.8;0.85;0.22;0.8;0.85;0.82
73;2017_08_03_12:37:03;SVC;poly;100.0;1000.0;979.0;964.0;412.0;421.0;145.0;401.0;20.0;267.0;65.55;30.64;0.35;0.05;0.88;0.35;0.5;0.95;0.65;0.6;0.95;0.74
74;2017_08_03_12:37:03;SVC;rbf;100.0;1000.0;979.0;964.0;412.0;421.0;412.0;14.0;407.0;0.0;51.14;3.29;1.0;0.97;0.5;1.0;0.67;0.03;0.0;1.0;0.03;0.06
75;2017_08_03_12:37:03;SVC;sigmoid;100.0;1000.0;979.0;964.0;412.0;421.0;412.0;14.0;407.0;0.0;51.14;3.29;1.0;0.97;0.5;1.0;0.67;0.03;0.0;1.0;0.03;0.06
76;2017_08_03_12:33:50;SVC;linear;10.0;1000.0;955.0;988.0;436.0;397.0;315.0;337.0;60.0;121.0;78.27;56.74;0.72;0.15;0.84;0.72;0.78;0.85;0.28;0.74;0.85;0.79
77;2017_08_03_12:33:50;SVC;poly;10.0;1000.0;955.0;988.0;436.0;397.0;133.0;380.0;17.0;303.0;61.58;25.4;0.31;0.04;0.89;0.31;0.46;0.96;0.69;0.56;0.96;0.71
78;2017_08_03_12:33:50;SVC;rbf;10.0;1000.0;955.0;988.0;436.0;397.0;13.0;397.0;0.0;423.0;49.22;2.85;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.48;1.0;0.65
79;2017_08_03_12:33:50;SVC;sigmoid;10.0;1000.0;955.0;988.0;436.0;397.0;13.0;397.0;0.0;423.0;49.22;2.85;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.48;1.0;0.65
80;2017_08_03_03:11:25;SVC;linear;1000.0;1000.0;992.0;951.0;399.0;434.0;296.0;379.0;55.0;103.0;81.03;61.81;0.74;0.13;0.84;0.74;0.79;0.87;0.26;0.79;0.87;0.83
81;2017_08_03_03:11:25;SVC;poly;1000.0;1000.0;992.0;951.0;399.0;434.0;116.0;422.0;12.0;283.0;64.59;27.05;0.29;0.03;0.91;0.29;0.44;0.97;0.71;0.6;0.97;0.74
82;2017_08_03_03:11:25;SVC;rbf;1000.0;1000.0;992.0;951.0;399.0;434.0;398.0;15.0;419.0;1.0;49.58;3.08;1.0;0.97;0.49;1.0;0.66;0.03;0.0;0.94;0.03;0.06
83;2017_08_03_03:11:25;SVC;sigmoid;1000.0;1000.0;992.0;951.0;399.0;434.0;398.0;15.0;419.0;1.0;49.58;3.08;1.0;0.97;0.49;1.0;0.66;0.03;0.0;0.94;0.03;0.06
84;2017_08_03_03:09:05;SVC;linear;100.0;1000.0;969.0;974.0;422.0;411.0;296.0;364.0;47.0;126.0;79.23;58.56;0.7;0.11;0.86;0.7;0.77;0.89;0.3;0.74;0.89;0.81
85;2017_08_03_03:09:05;SVC;poly;100.0;1000.0;969.0;974.0;422.0;411.0;110.0;406.0;5.0;312.0;61.94;24.61;0.26;0.01;0.96;0.26;0.41;0.99;0.74;0.57;0.99;0.72
86;2017_08_03_03:09:05;SVC;rbf;100.0;1000.0;969.0;974.0;422.0;411.0;12.0;411.0;0.0;410.0;50.78;2.81;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.5;1.0;0.67
87;2017_08_03_03:09:05;SVC;sigmoid;100.0;1000.0;969.0;974.0;422.0;411.0;12.0;411.0;0.0;410.0;50.78;2.81;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.5;1.0;0.67
88;2017_08_03_03:06:48;SVC;linear;10.0;1000.0;994.0;949.0;397.0;436.0;299.0;382.0;54.0;98.0;81.75;63.24;0.75;0.12;0.85;0.75;0.8;0.88;0.25;0.8;0.88;0.84
89;2017_08_03_03:06:48;SVC;poly;10.0;1000.0;994.0;949.0;397.0;436.0;116.0;423.0;13.0;281.0;64.71;27.05;0.29;0.03;0.9;0.29;0.44;0.97;0.71;0.6;0.97;0.74
90;2017_08_03_03:06:48;SVC;rbf;10.0;1000.0;994.0;949.0;397.0;436.0;397.0;12.0;424.0;0.0;49.1;2.63;1.0;0.97;0.48;1.0;0.65;0.03;0.0;1.0;0.03;0.06
91;2017_08_03_03:06:48;SVC;sigmoid;10.0;1000.0;994.0;949.0;397.0;436.0;397.0;12.0;424.0;0.0;49.1;2.63;1.0;0.97;0.48;1.0;0.65;0.03;0.0;1.0;0.03;0.06
92;2017_08_03_03:04:31;SVC;linear;1.0;1000.0;991.0;952.0;400.0;433.0;293.0;382.0;51.0;107.0;81.03;61.8;0.73;0.12;0.85;0.73;0.79;0.88;0.27;0.78;0.88;0.83
93;2017_08_03_03:04:31;SVC;poly;1.0;1000.0;991.0;952.0;400.0;433.0;116.0;426.0;7.0;284.0;65.07;28.13;0.29;0.02;0.94;0.29;0.44;0.98;0.71;0.6;0.98;0.74
94;2017_08_03_03:04:31;SVC;rbf;1.0;1000.0;991.0;952.0;400.0;433.0;376.0;91.0;342.0;24.0;56.06;14.57;0.94;0.79;0.52;0.94;0.67;0.21;0.06;0.79;0.21;0.33
95;2017_08_03_03:04:31;SVC;sigmoid;1.0;1000.0;991.0;952.0;400.0;433.0;376.0;91.0;342.0;24.0;56.06;14.57;0.94;0.79;0.52;0.94;0.67;0.21;0.06;0.79;0.21;0.33
96;2017_08_02_20:25:17;SVC;linear;10000.0;1000.0;985.0;958.0;406.0;427.0;321.0;373.0;54.0;85.0;83.31;66.54;0.79;0.13;0.86;0.79;0.82;0.87;0.21;0.81;0.87;0.84
97;2017_08_02_20:25:17;SVC;poly;10000.0;1000.0;985.0;958.0;406.0;427.0;144.0;411.0;16.0;262.0;66.63;32.2;0.35;0.04;0.9;0.35;0.5;0.96;0.65;0.61;0.96;0.75
98;2017_08_02_20:25:17;SVC;rbf;10000.0;1000.0;985.0;958.0;406.0;427.0;404.0;9.0;418.0;2.0;49.58;1.58;1.0;0.98;0.49;1.0;0.66;0.02;0.0;0.82;0.02;0.04
99;2017_08_02_20:25:17;SVC;sigmoid;10000.0;1000.0;985.0;958.0;406.0;427.0;404.0;9.0;418.0;2.0;49.58;1.58;1.0;0.98;0.49;1.0;0.66;0.02;0.0;0.82;0.02;0.04
