;words;num_stop_words;words_no_url;duplicate;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;retweet_count;urls_wiki;urls_moz;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;msg_p_day;label
883266298611982337;['hedgehog', 'storybook', 'catman', 'notebooks', 'via', 'amazon', 'kidsbirthday', 'partyfavors', 'hedgehog', 'writing', 'schoolbooks'];3;My Hedgehog Storybook by catman notebooks  via @amazon #kidsbirthday #partyfavors #hedgehog #writing #schoolbooks;False;136;11;False;False;False;0.0;False;0.051;True;0.0;True;False;3129;1461;729;1103;False;True;True;0.467;2
862293211234136066;['number', 'robots', 'working', 'amazon', 'jonerlichman'];4;Number of robots working in Amazon warehouses:  2016: 45,000 2015: 30,000 2014: 15,000 2013: 1,000 — @JonErlichman ;False;138;5;False;False;False;0.0;False;0.051;False;154.0;False;False;2377;322630;213735;400;True;True;True;135.73;1
869140837145489409;['fantasy', 'lkkelley1the', 'white', 'wolf', 'prophecyfantastically', 'supernatural'];2;TIME-TRAVEL #FANTASY @LKKelley1 THE WHITE WOLF PROPHECY Fantastically Supernatural #ASMSG  ;False;137;6;False;False;False;0.0;False;0.423;True;7.0;True;False;1213;849357;132492;124255;False;True;True;700.212;2
879790799805849600;['maybe', 'way', 'survive', 'world', 'gone', 'mad', 'embracing', 'horror', 'zombie', 'thriller', 'free', 'ku…'];9;Maybe the only way to survive a world gone mad is by embracing the madness. #horror #zombie #thriller #FREE on KU… ;False;138;12;False;False;False;0.0;False;0.094;True;116.0;True;False;583;181991;29604;25397;False;True;True;312.163;2
869137325749567490;['check', 'honey', 'puddle', 'honeypuddlesmut', 'questionable', 'morals', 'amp', 'filthy', 'imagination', 'makes', 'sexy', 'erotica'];5;"Check out: Honey Puddle @honeypuddlesmut questionable morals &amp; a filthy imagination which makes for sexy erotica. ";False;141;12;False;False;False;0.0;False;0.035;False;0.0;True;False;1239;524841;24711;12648;False;True;True;423.6;2
860784967957200896;['new', 'post', 'amazon', 'leak', 'exposes', 'echo', 'ai', 'device', 'touch', 'display', 'fireos'];3;New post: Amazon Leak Exposes Echo AI Device With Touch Display and FireOS ;False;98;11;False;False;False;0.0;False;0.184;False;0.0;False;False;2750;156605;196;0;False;True;True;56.947;1
879973926767603712;['amazon', 'bringing', 'deliveries', 'drone', 'uk', 'amazon', 'drones', 'doncasterisgreat', 'ittweetsuk'];7;Amazon are now bringing you deliveries by Drone in the UK         ! #Amazon #Drones #doncasterisgreat #ITTweetsUK;False;136;9;False;True;False;0.0;True;0.096;True;15.0;False;False;2428;862;1170;1598;False;True;True;0.355;1
868991549622931457;['amazon', 'readers', 'rate', 'higher', 'king’s', 'dark', 'tower', 'stephenking', 'thriller…'];5;Amazon readers rate it higher than King’s, The Dark Tower -  #stephenking #thriller… ;False;131;9;False;False;False;0.0;True;0.115;True;125.0;True;False;1863;86222;58942;49263;False;True;True;46.281;2
874983068309880833;['amazon', 'healthcare', 'accolade', 'unveils', 'ai', 'platform', 'app', 'personalize', 'healthcare', 'assistance'];5;The Amazon of healthcare? Accolade unveils AI platform and app that personalize healthcare assistance  ;False;126;10;True;False;False;0.0;False;0.056;False;2.0;False;False;2728;24205;9511;3331;False;True;True;8.873;1
869123690797166592;['various', 'story', 'lines', 'twist', 'turn', 'converging', 'amazon', 'usa', 'review', 'thriller', 'iartg'];5;'Weaves through various story lines which twist and turn before converging.' Amazon USA review.   #thriller  #IARTG;False;138;11;False;False;False;0.0;False;0.087;True;6.0;False;False;1381;409152;47737;41554;False;True;True;296.272;2
862291773736878080;['inside', 'amazon', 'grand', 'plan', 'control', 'eat'];5;Inside Amazon's Grand Plan to Control How You Eat  ;False;97;6;False;False;False;0.0;True;0.165;False;0.0;False;False;131;1575;261;247;False;True;True;12.023;1
875703660466102272;['amazon', 'buying', 'whole', 'foods', 'make', 'line', 'checkout', 'happen', 'one', 'store', 'whole', 'foods'];11;Amazon buying Whole Foods will make their No Line No Checkout happen.... they only have one store now they have Whole Foods now;False;127;12;False;False;False;0.0;True;0.071;False;11.0;False;False;2625;635195;11699;5534;False;True;False;241.979;1
875733966678052866;['amazon', 'buy', 'wholefoods', 'summer', 'change', 'things'];6;Amazon to buy Wholefoods this summer.  How will it change things? ;False;89;6;True;False;False;0.0;True;0.101;False;0.0;False;False;1609;624;176;143;False;True;True;0.388;1
875721262303195136;['amazon', 'secretly', 'acquires', 'atlanta', 'visual', 'search', 'startup', 'partpic', 'turns', 'a9', 'team', 'amzn'];3;Amazon secretly acquires Atlanta visual search startup Partpic, turns it into A9 team $AMZN @atdc ;False;121;12;False;False;False;0.0;True;0.099;False;16.0;False;False;3099;24022;191478;27641;False;True;True;7.752;1
882918407297011712;['makemoney', 'amazon', 'learn', 'secrets', 'earn', 'amazon', 'click', 'later', 'retweet…'];9;How to #makemoney on #amazon. Learn the secrets to earn 100/day with amazon! Click the link-thank me later #retweet… ;False;140;9;False;True;False;0.0;True;0.057;True;9.0;True;False;384;19205;3719;4987;False;True;True;50.013;2
882974120706691076;['entered', 'alertbot', 'contest', 'win', 'amazon', 'fire', 'tv', 'stick', 'legobatmanmovie', 'prizes', 'lego', 'batman'];5;I just entered @AlertBot's contest to win an @Amazon Fire TV Stick + @LEGOBatmanMovie Prizes!  #lego #batman;False;131;12;False;True;False;0.0;True;0.137;True;0.0;False;False;2680;42882;876;5000;False;True;False;16.001;2
869138316205182977;['premium', 'eye', 'serum', 'wrinkles', 'puffiness', 'dark', 'via', 'amazonuk'];2;PREMIUM super-enriched anti-ageing eye serum for wrinkles, puffiness, dark ...  via @AmazonUK;False;116;8;False;False;False;0.0;False;0.112;False;0.0;True;False;2275;14013;289;4200;False;True;False;6.16;2
862288354754383872;['trust', 'amazon', 'partner', 'may', 'create', 'competing', 'device', 'shows', 'signs', 'success', 'via', 'cnet'];10;Can you trust Amazon as a partner? They may create a competing device if it shows signs of success.  via @CNET;False;133;12;True;False;False;0.0;True;0.09;False;0.0;False;False;1675;57;30;186;False;True;True;0.034;1
882972714176327680;['previous', 'life', 'spent', 'orphanage', 'run', 'nkvd', 'army', 'obvious', 'next', 'step', 'ian1', 'bzbooks…'];9;"""My previous life was spent in an orphanage run by NKVD; the army was the obvious next step."" #ian1 #bzbooks… ";False;133;12;False;False;False;0.0;False;0.083;True;19.0;True;False;1633;315003;45497;34993;False;True;True;192.898;2
875734309612793856;['whole', 'foods', 'stock', 'rockets', '28', 'billion', 'amazon', 'takeover'];2;Whole Foods stock rockets 28% on $13.7 billion Amazon takeover deal  ;False;92;8;False;False;False;0.0;False;0.087;False;0.0;False;False;1203;2782;149;577;False;True;False;2.313;1
875730671993573376;['online', 'retail', 'giant', 'amazon', 'buying', 'organic', 'grocery', 'chain', 'wholefoods', 'billion'];4;Online retail giant @amazon is buying organic grocery chain @WholeFoods for $13.7 billion in cash.… ;False;123;10;False;False;False;0.0;False;0.065;False;47.0;True;False;3282;124569;1721632;954;True;True;True;37.955;1
883244285541457920;['happy', 'worldchocolateday', 'win', 'boxes', 'double', 'chocolate', 'mini', 'loaves', 'simply', 'rt', 'amp', 'flw', 'chocolate…'];7;"Happy #WORLDCHOCOLATEDAY! To #win 1 of 6 boxes of our Double Chocolate mini loaves, simply RT &amp; FLW #chocolate… ";False;139;13;False;True;False;0.0;False;0.216;True;1339.0;True;False;1148;973;6969;443;False;True;False;0.848;2
862287508788305921;['amazon', 'attracted', 'blondie', 'katie', 'melua', 'texas', 'alison', 'moyet', 'play', 'london', 'gigs', 'prime', 'members…'];5;How Amazon attracted Blondie, Katie Melua, Texas and Alison Moyet to play 'intimate' London gigs for Prime members… ;False;139;13;False;False;False;0.0;False;0.101;False;0.0;True;False;168;2877;132;198;False;True;False;17.125;1
877802103250444291;['report', 'amazon', 'lower', 'prices', 'whole', 'foods'];4;Report: Amazon to lower prices at Whole Foods  ;False;93;6;False;False;False;0.0;False;0.183;False;2251.0;False;False;3190;26064;131046;68;True;True;True;8.171;1
860806084008841216;['amazon', 'echo', 'touchscreen', 'leaked', 'yesterday'];6;Amazon Echo With TouchScreen Was Leaked And It's So Yesterday ;False;85;5;False;False;False;0.0;True;0.176;False;0.0;False;False;726;795;602;1650;False;True;True;1.095;1
862289977111085057;['walmart', 'trying', 'crush', 'amazon', 'better', 'deals', 'winning', 'price', 'war'];8;Walmart is trying to crush Amazon with better deals — here's who's winning the price war ;False;112;9;False;False;False;0.0;False;0.062;False;0.0;False;False;447;370;240;1147;False;True;False;0.828;1
883070419942727682;['remember', 'jeff', 'fisher', 'challenge', 'flag', 'fiasco', 'gillette', 'last', 'year', 'mic', 'new', 'nothi…'];10;"Remember Jeff Fisher's challenge flag fiasco at Gillette last year? Here it is mic'd up, from the new ""All or Nothi… ";False;140;12;True;False;False;0.0;True;0.064;False;184.0;True;False;2505;23771;5770;1217;True;True;True;9.489;2
875734493021208576;['deal', 'potential', 'shake', 'amazon', 'ist', 'buy', 'organic', 'grocer', 'wholefoods'];7;A deal that has potential to shake up the retail-sector: #Amazon ist to buy organic grocer #WholeFoods @dw_business;False;115;9;False;False;False;0.0;False;0.035;True;0.0;False;False;1248;570;208;161;False;True;False;0.457;1
875720781078069248;['amazon', 'big', 'spends', 'content', 'abc', 'nbc', 'hbo', 'cbs', 'tv', 'afterthought', 'business', 'model'];12;Amazon is so big it spends more on content than ABC, NBC, HBO, and CBS. And tv is an afterthought in its business model!;False;120;12;False;True;False;0.0;True;0.117;False;35.0;False;False;3817;43461;39103;1547;True;True;True;11.386;1
862291143240929280;['amazon', 'reduces', 'free', 'shipping', 'minimum', 'time', '25', 'via', 'digitaltrends'];8;Amazon reduces its free shipping minimum — again — this time to $25  via @DigitalTrends ;False;134;9;False;False;False;0.0;False;0.104;False;0.0;False;False;2347;6829;555;865;False;True;False;2.91;1
860803936873263104;['amazon', 'really', 'make', 'sense', 'groceries'];5;Can #Amazon really make any sense of groceries?  ;False;95;5;True;False;False;0.0;False;0.074;True;0.0;False;False;622;252;240;7;False;True;True;0.405;1
882102405432848385;['gold', 'winner', 'deep', 'like', 'ocean', 'amp', 'light', 'like', 'air', 'mrsdbooks', 'ya', 'amp'];6;"  International GOLD #Winner! Deep like an ocean &amp; light like the air @MRSDBOOKS for #YA &amp;… ";False;146;12;False;True;False;0.0;False;0.185;True;159.0;True;False;1621;1002963;29989;14162;False;True;True;618.731;2
878192509297451008;['amazon’s', 'drone', '‘beehive’', 'patent', 'proves', 'company', 'full', 'mad', 'scientists', 'fastcompany'];4;Amazon’s drone ‘beehive’ patent proves the company is full of mad scientists  FastCompany;False;112;10;False;False;False;0.0;False;0.08;False;0.0;False;False;165;17317;32;22;False;True;False;104.952;1
874987925829591040;['sense', 'introduces', 'skill', 'amazon', 'alexa', 'monitor', 'home', 'energy', 'use'];3;Sense Introduces Skill for Amazon Alexa to Monitor Home Energy Use ;False;90;9;False;False;False;0.0;False;0.122;False;0.0;False;False;2455;378734;70816;25;False;True;True;154.27;1
878192374047965184;['amazon', 'paying', 'per', 'user', 'buy', 'slack', 'might', 'make', 'perfect', 'sense', 'submitted'];3;Amazon paying $6,000 per user to buy Slack might make perfect sense: submitted by /u… ;False;109;11;False;False;False;0.0;False;0.073;False;0.0;False;False;2231;65842;260;0;False;True;False;29.512;1
868926233811320833;['lamourdespieds', 'amazon', 'using', 'products', 'run', 'ads', 'hateful', 'amp', 'sexist', 'breitbart', 'site', 'ask', 'kn…'];8;"@LAmourDesPieds Hi-@amazon is using your products to run ads on the hateful &amp; sexist Breitbart site. Ask them to kn… ";False;144;13;False;False;False;0.0;True;0.069;False;44.0;True;False;1521;1367;202;321;False;True;True;0.899;2
870010337482899456;['aws', 'expands', 'vps', 'service', 'amazon', 'lightsail', 'regions'];3;AWS Expands VPS Service Amazon Lightsail to More Regions ;False;80;7;False;False;False;0.0;False;0.2;False;0.0;False;False;1745;26710;1587;1868;False;True;True;15.307;1
875709527672459264;['target', 'shares', 'plunge', 'amazon', 'agree', 'buy', 'wholefoods'];4;Target shares plunge after Amazon agree to buy Wholefoods  ;False;105;7;False;False;False;0.0;False;0.124;False;42.0;False;False;2928;58413;353364;281;True;True;True;19.95;1
879985241011761152;['torn', 'stepbrother', 'hot', 'amazon', 'menage', 'indie…'];7;She's torn between her #stepbrother and the hot #badboy   (Amazon)  #menage #indie… ;False;130;6;False;False;False;0.0;True;0.085;True;2.0;True;False;2108;58705;5893;5796;False;True;True;27.849;2
870012922319167488;['checkout', 'amazon', 'hits', 'per', 'stock', 'share', 'company', 'next'];11;Checkout this on  Amazon Hits $1,000 per stock share. What company is next to do the same?… ;False;139;8;True;False;False;0.0;False;0.094;False;0.0;True;False;3331;43015;2845;2885;False;True;True;12.914;1
874982871185973248;['ikeausa', 'amazon', 'one', 'less', 'reason', 'ever', 'go', 'nova'];8;With @IKEAUSA now on Amazon, there is now one less reason to ever go to NOVA;False;76;8;False;False;False;0.0;False;0.171;False;0.0;False;False;3650;62414;3241;485;False;True;True;17.1;1
862287178184876032;['authors', 'guild', 'joins', 'warnings', 'amazon', 'changed', 'book', 'sales', 'policy', 'via', 'pubperspectives'];2;Authors Guild Joins Warnings on Amazon's Changed Buy-Button Book Sales Policy  via @pubperspectives;False;122;11;False;False;False;0.0;False;0.131;False;0.0;False;False;1142;666;195;352;False;True;True;0.583;1
875717910970466304;['rival', 'grocery', 'stocks', 'plunge', 'whole', 'foods', 'bought', 'amazon'];5;Rival grocery stocks plunge after Whole Foods is bought by Amazon  ;False;113;8;False;False;False;0.0;False;0.124;False;18.0;False;False;2928;58413;353364;281;True;True;True;19.95;1
862291262019391488;['amazon', 'invested', 'millions', 'startup', 'nucleus', 'cloned', 'product', 'new', 'echo', 'recode'];8;#Amazon invested millions in the #startup #Nucleus — then cloned its product for the new #Echo - Recode ;False;127;10;False;False;False;0.0;False;0.087;True;0.0;False;False;1922;41174;4111;3691;False;True;True;21.422;1
862291140044873729;['amazon', 'boss', 'jeff', 'bezos', 'wants', 'start', 'shipping', 'packages', 'moon', 'via', 'verge'];5;#Amazon boss Jeff Bezos wants to start shipping packages to the Moon  via @Verge ;False;127;11;False;False;False;0.0;False;0.071;True;0.0;False;False;3043;4018;748;2148;False;True;True;1.32;1
879987616640356354;['tesco', 'announces', 'delivery', 'london', 'retail', 'supplychain'];3;Tesco now announces one-hour delivery in London #retail #SupplyChain ;False;92;6;False;False;False;0.0;False;0.098;True;0.0;False;False;541;549;361;401;False;True;True;1.015;1
879987981867769856;['dragon', 'shop', 'mo', 'big', 'please', 'share', 'help', 'hoard', 'grow'];7;@roary_dragon has a #dragon shop!  Mo big surprize- but please share and help his #hoard grow ;False;140;9;False;True;False;0.0;False;0.093;True;0.0;False;False;832;5382;417;1102;False;True;True;6.469;2
878999033943138305;['amazon', 'acquired', 'training', 'ground', 'retail', 'artificial', 'intelligence', 'research', 'geekwire…'];4;Amazon just acquired a training ground for retail artificial intelligence research - GeekWire… ;False;118;9;False;False;False;0.0;False;0.042;False;28.0;True;False;2613;21219;27568;14384;False;True;True;8.121;1
869128714218602496;['99p', 'download', 'brilliant', 'number', 'liar', 'ge2017', 'captain', 'records', 'via', 'amazonuk'];6;99p download. It'd be brilliant if this was Number 1. Liar Liar Ge2017 CAPTAIN'S RECORDS  via @AmazonUK;False;126;10;False;False;False;0.0;True;0.23;False;0.0;True;False;1181;5792;326;870;False;True;False;4.904;2
865756204953358336;['amazon', 'purchases', 'google', 'searches', 'facebook', 'likes', 'helps', 'ai', 'predict', 'gender', 'political', 'views', 'michalkosinski', 'chmlive'];5;Amazon purchases, Google searches, and Facebook likes, helps AI predict your gender, political views, and more. –@michalkosinski #CHMlive;False;137;14;False;False;False;0.0;False;0.058;True;31.0;False;False;3197;18676;426183;1458;True;True;True;5.842;1
868841378922479617;['trafficking', 'billward10bill', 'mustread', 'crimefiction', 'thriller', 'rrbc', 'kindleunlimited'];4;Trafficking by @Billward10Bill ~ A #mustread #crimefiction #thriller! #RRBC #KindleUnlimited  ;False;140;7;False;True;False;0.0;False;0.136;True;1.0;True;False;1638;670348;115804;116345;False;True;True;409.248;2
860807119498620928;['amazon', 'might', 'working', 'single', 'support', 'fire', 'tv'];4;Amazon might be working on single sign-on support for Fire TV ;False;85;7;False;False;False;0.0;False;0.082;False;0.0;False;False;1921;24205;84;83;False;True;False;12.6;1
879986665187573760;['babymetal', 'one', 'nowplaying', 'jrock'];2;#BABYMETAL - THE ONE #nowplaying #jrock ;False;63;4;False;False;False;0.0;False;0.317;True;0.0;True;False;82;18284;293;1116;False;True;True;222.976;2
883266080625405952;['ableton', 'live', '?dj'];2;Ableton Live??DJ!! ??;False;67;3;False;True;True;0.0;False;0.179;False;0.0;True;False;2298;47841;2018;945;False;True;True;20.819;2
869125230773587968;['handmade', 'zodiac', 'clock', 'wood', 'astrology', 'academiczodiac'];3;Handmade #Zodiac clock in wood #astrology #academiczodiac #ticktock  -  -… ;False;121;6;False;False;False;0.0;False;0.099;True;0.0;True;False;220;22342;196;25;False;True;True;101.555;2
869137749256753153;['best', 'buy', 'prove', 'jb', 'hi', 'fi', 'still', 'achieve', 'growth', 'amazon'];5;Best Buy Prove That JB HI Fi Still Can Achieve Growth, Up Against Amazon ;False;96;10;False;False;False;0.0;False;0.208;False;0.0;False;False;1181;432;101;98;False;True;False;0.366;1
875734022097391618;['amazon', 'buying', 'whole', 'foods', 'many', 'possibilities'];3;Amazon is buying Whole Foods. So many possibilities here!;False;57;6;False;True;False;0.0;False;0.07;False;0.0;False;False;3111;3586;4160;3935;False;True;True;1.153;1
883266093737029632;['amazon', 'said', 'working', 'translation', 'services', 'aws', 'customers'];5;Amazon said to be working on translation services for AWS customers ;False;91;7;False;False;False;0.0;False;0.077;False;0.0;False;False;1093;30021;13286;11919;False;True;True;27.467;1
862289193782968320;['amazon', 'officially', 'unveils', 'touchscreen', 'echo', 'show', 'tech', 'feedly'];1;"""Amazon officially unveils touchscreen Echo Show""  #tech #feedly";False;87;8;False;False;False;0.0;False;0.046;True;0.0;False;False;2894;1945;295;469;False;True;False;0.672;1
874985025665720320;['internet', 'giant', 'amazon', 'set', 'join', 'automotive', 'retail', 'sector', 'looks', 'europe', 'first'];6;Internet Giant, Amazon, set to join the #Automotive Retail Sector - looks to Europe for its first entry-to-market… ;False;138;11;False;False;False;0.0;False;0.072;True;0.0;True;False;1130;17466;7038;4429;False;True;True;15.457;1
868973386977988608;['new', 'sky', 'eyes', 'watcher', 'steampunk', 'scifi', 'get', 'fun', 'books'];6;New Sky - Eyes of the Watcher #steampunk #scifi  #hot-seller! Get in on the fun! #books;False;110;9;False;True;True;0.0;False;0.082;True;4.0;True;False;2348;168508;2527;2124;False;True;True;71.767;2
883265590785445888;['jeffbezos', 'amazon', 'truly', 'supports', 'parisclimateagreement', 'need', 'dropbreitbart', 'cc', 'sierrarise'];5;.@JeffBezos if @amazon truly supports the #ParisClimateAgreement you need to #DropBreitbart  cc: @SierraRise;False;131;9;False;False;False;0.0;True;0.115;True;0.0;False;False;1977;279;10;68;False;True;False;0.141;2
879987842390339584;['amazon', 'world’s', 'remarkable', 'firm', 'getting', 'started'];6;Amazon, the world’s most remarkable firm, is just getting started  ;False;113;6;False;False;False;0.0;False;0.088;False;1.0;False;False;3787;8366;3351;3594;False;True;True;2.209;2
876665851121983488;['amazon', 'food', 'deal', 'shakes', 'woolworths', 'wesfarmers', 'metcash', 'suemitchellafr', 'ausbiz', 'retail'];2;.@amazon's food deal shakes @woolworths, Wesfarmers and #Metcash. @suemitchellafr #ausbiz #Retail ;False;121;10;False;False;False;0.0;False;0.074;True;3.0;False;False;3153;120815;252273;257;True;True;True;38.317;1
876714905130344448;['stock', 'market', 'amazon', 'drowns', 'grocers', 'save', 'whole', 'foods'];4;In Stock Market, Amazon Drowns Grocers To Save Whole Foods  ;False;106;8;False;False;False;0.0;False;0.16;False;0.0;False;False;2564;44443;5717;1856;False;True;True;17.333;1
