Name;News_F1;Spam_F1;Size;Accuracy;Kappa
NaiveBayes;0,85;0,82;1953;83,62;67,13
MultinomialNB;0,86;0,83;1953;84,64;69,19
BernoulliNB;0,85;0,82;1953;83,79;67,47
LinearSVC;0,82;0,81;1953;81,91;63,8
SVC_linear;0,81;0,8;1953;81,06;62,09
SVC_poly;0;0,66;1953;49,15;0
SVC_rbf;0,84;0,83;1953;83,79;67,58
SVC_sigmoid;0,79;0,77;1953;78,5;56,94
SGD;0,8;0,79;1953;80,2;60,39
MLP;0,84;0,83;1953;83,79;67,57
RandomForest;0,84;0,84;1953;84,3;68,62
AdaBoost;0,67;0,77;1953;72,53;45,39
Vote;0,85;0,84;1953;84,13;68,24
LogisticRegression;0,84;0,84;1953;84,47;68,93
NaiveBayes;0,85;0,82;1953;83,62;67,13
MultinomialNB;0,86;0,83;1953;84,64;69,19
BernoulliNB;0,85;0,82;1953;83,79;67,47
LinearSVC;0,82;0,81;1953;81,91;63,8
SVC_linear;0,81;0,8;1953;81,06;62,09
SVC_poly;0;0,66;1953;49,15;0
SVC_rbf;0,84;0,83;1953;83,79;67,58
SVC_sigmoid;0,79;0,77;1953;78,5;56,94
SGD;0,8;0,79;1953;80,2;60,39
MLP;0,84;0,83;1953;83,79;67,57
RandomForest;0,84;0,84;1953;84,3;68,62
AdaBoost;0,67;0,77;1953;72,53;45,39
Vote;0,85;0,84;1953;84,13;68,24
LogisticRegression;0,86;0,86;1953;85,67;71,36
NaiveBayes;0,86;0,84;1953;85,49;70,91
MultinomialNB;0,86;0,84;1953;85,32;70,57
BernoulliNB;0,85;0,84;1953;84,64;69,19
LinearSVC;0,82;0,83;1953;82,76;65,58
SVC_linear;0,84;0,84;1953;84,3;68,64
SVC_poly;0;0,66;1953;48,63;0
SVC_rbf;0,85;0,86;1953;85,49;71,06
SVC_sigmoid;0,81;0,8;1953;81,23;62,44
SGD;0,84;0,83;1953;83,62;67,22
MLP;0,84;0,84;1953;83,79;67,62
RandomForest;0,79;0,81;1953;80,38;60,9
AdaBoost;0,67;0,77;1953;72,87;46,27
Vote;0,85;0,85;1953;85,32;70,66
LogisticRegression;0,86;0,86;1953;85,67;71,36
NaiveBayes;0,86;0,84;1953;85,49;70,91
MultinomialNB;0,86;0,84;1953;85,32;70,57
BernoulliNB;0,85;0,84;1953;84,64;69,19
LinearSVC;0,82;0,83;1953;82,76;65,58
SVC_linear;0,84;0,84;1953;84,3;68,64
SVC_poly;0;0,66;1953;48,63;0
SVC_rbf;0,85;0,86;1953;85,49;71,06
SVC_sigmoid;0,81;0,8;1953;81,23;62,44
SGD;0,84;0,83;1953;83,62;67,22
MLP;0,84;0,84;1953;83,79;67,62
RandomForest;0,79;0,81;1953;80,38;60,9
AdaBoost;0,67;0,77;1953;72,87;46,27
Vote;0,85;0,85;1953;85,32;70,66
LogisticRegression;0,86;0,86;1953;85,67;71,36
NaiveBayes;0,86;0,84;1953;85,49;70,91
MultinomialNB;0,86;0,84;1953;85,32;70,57
BernoulliNB;0,85;0,84;1953;84,64;69,19
LinearSVC;0,82;0,83;1953;82,76;65,58
SVC_linear;0,84;0,84;1953;84,3;68,64
SVC_poly;0;0,66;1953;48,63;0
SVC_rbf;0,85;0,86;1953;85,49;71,06
SVC_sigmoid;0,81;0,8;1953;81,23;62,44
SGD;0,84;0,83;1953;83,62;67,22
MLP;0,84;0,84;1953;83,79;67,62
RandomForest;0,79;0,81;1953;80,38;60,9
AdaBoost;0,67;0,77;1953;72,87;46,27
Vote;0,85;0,85;1953;85,32;70,66
LogisticRegression;0,87;0,86;1953;86,35;72,68
NaiveBayes;0,88;0,86;1953;86,86;73,55
MultinomialNB;0,87;0,84;1953;86,01;71,81
BernoulliNB;0,87;0,84;1953;85,84;71,46
LinearSVC;0,86;0,85;1953;85,49;71,02
SVC_linear;0,86;0,85;1953;85,15;70,33
SVC_poly;0;0,64;1953;46,93;0
SVC_rbf;0,87;0,87;1953;86,69;73,47
SVC_sigmoid;0,83;0,81;1953;82,42;64,74
SGD;0,84;0,83;1953;83,79;67,53
MLP;0,86;0,86;1953;86,18;72,36
RandomForest;0,79;0,8;1953;79,35;59,02
AdaBoost;0,65;0,75;1953;70,82;42,92
Vote;0,87;0,86;1953;86,35;72,63
LogisticRegression;0,87;0,86;1953;86,35;72,68
NaiveBayes;0,88;0,86;1953;86,86;73,55
MultinomialNB;0,87;0,84;1953;86,01;71,81
BernoulliNB;0,87;0,84;1953;85,84;71,46
LinearSVC;0,86;0,85;1953;85,49;71,02
SVC_linear;0,86;0,85;1953;85,15;70,33
SVC_poly;0;0,64;1953;46,93;0
SVC_rbf;0,87;0,87;1953;86,69;73,47
SVC_sigmoid;0,83;0,81;1953;82,42;64,74
SGD;0,84;0,83;1953;83,79;67,53
MLP;0,86;0,86;1953;86,18;72,36
RandomForest;0,79;0,8;1953;79,35;59,02
AdaBoost;0,65;0,75;1953;70,82;42,92
Vote;0,87;0,86;1953;86,35;72,63
LogisticRegression;0,87;0,86;1953;86,35;72,68
NaiveBayes;0,88;0,86;1953;86,86;73,55
MultinomialNB;0,87;0,84;1953;86,01;71,81
BernoulliNB;0,87;0,84;1953;85,84;71,46
LinearSVC;0,86;0,85;1953;85,49;71,02
SVC_linear;0,86;0,85;1953;85,15;70,33
SVC_poly;0;0,64;1953;46,93;0
SVC_rbf;0,87;0,87;1953;86,69;73,47
SVC_sigmoid;0,83;0,81;1953;82,42;64,74
SGD;0,84;0,83;1953;83,79;67,53
MLP;0,86;0,86;1953;86,18;72,36
RandomForest;0,79;0,8;1953;79,35;59,02
AdaBoost;0,65;0,75;1953;70,82;42,92
Vote;0,87;0,86;1953;86,35;72,63
LogisticRegression;0,85;0,83;1953;84,3;68,58
NaiveBayes;0,87;0,82;1953;84,3;68,08
MultinomialNB;0,86;0,82;1953;84,64;68,8
BernoulliNB;0,86;0,82;1953;84,64;68,86
LinearSVC;0,82;0,8;1953;81,57;63,09
SVC_linear;0,82;0,8;1953;81,06;62,02
SVC_poly;0;0,63;1953;46,42;0
SVC_rbf;0,85;0,84;1953;84,47;68,97
SVC_sigmoid;0,77;0,74;1953;75,77;51,45
SGD;0,82;0,78;1953;80,72;61,07
MLP;0,85;0,83;1953;84,47;68,91
RandomForest;0,78;0,78;1953;78,16;56,66
AdaBoost;0,68;0,75;1953;72,53;46,34
Vote;0,85;0,83;1953;84,13;68,12
LogisticRegression;0,86;0,87;1465;85,91;71,9
NaiveBayes;0,85;0,83;1465;83,64;67,75
MultinomialNB;0,86;0,85;1465;85;70,29
BernoulliNB;0,81;0,76;1465;78,64;58,3
LinearSVC;0,84;0,85;1465;84,77;69,65
SVC_linear;0,83;0,84;1465;83,41;67
SVC_poly;0,63;0;1465;45,91;0
SVC_rbf;0,84;0,85;1465;84,77;69,49
SVC_sigmoid;0,76;0,78;1465;77,05;54,14
SGD;0,84;0,85;1465;84,32;68,6
MLP;0,85;0,86;1465;85,45;70,97
RandomForest;0,84;0,86;1465;85,23;70,31
AdaBoost;0,65;0,8;1465;74,09;46,3
Vote;0,86;0,87;1465;86,36;72,83
LogisticRegression;0,86;0,87;1465;85,91;71,9
NaiveBayes;0,85;0,83;1465;83,64;67,75
MultinomialNB;0,86;0,85;1465;85;70,29
BernoulliNB;0,81;0,76;1465;78,64;58,3
LinearSVC;0,84;0,85;1465;84,77;69,65
SVC_linear;0,83;0,84;1465;83,41;67
SVC_poly;0,63;0;1465;45,91;0
SVC_rbf;0,84;0,85;1465;84,77;69,49
SVC_sigmoid;0,76;0,78;1465;77,05;54,14
SGD;0,84;0,85;1465;84,32;68,6
MLP;0,85;0,86;1465;85,45;70,97
RandomForest;0,84;0,86;1465;85,23;70,31
AdaBoost;0,65;0,8;1465;74,09;46,3
Vote;0,86;0,87;1465;86,36;72,83
LogisticRegression;0,86;0,86;1465;86,14;72,28
NaiveBayes;0,85;0,83;1465;84,09;68,49
MultinomialNB;0,85;0,83;1465;83,86;68,01
BernoulliNB;0,81;0,77;1465;79,32;59,4
LinearSVC;0,83;0,84;1465;83,86;67,76
SVC_linear;0,84;0,85;1465;84,09;68,2
SVC_poly;0,64;0;1465;46,82;0
SVC_rbf;0,86;0,88;1465;87,27;74,47
SVC_sigmoid;0,78;0,79;1465;79,09;58,23
SGD;0,82;0,84;1465;82,95;65,76
MLP;0,84;0,85;1465;85;70
RandomForest;0,83;0,84;1465;83,41;66,89
AdaBoost;0,7;0,8;1465;75,91;50,71
Vote;0,86;0,86;1465;86,14;72,31
LogisticRegression;0,86;0,86;1465;86,14;72,28
NaiveBayes;0,85;0,83;1465;84,09;68,49
MultinomialNB;0,85;0,83;1465;83,86;68,01
BernoulliNB;0,81;0,77;1465;79,32;59,4
LinearSVC;0,83;0,84;1465;83,86;67,76
SVC_linear;0,84;0,85;1465;84,09;68,2
SVC_poly;0,64;0;1465;46,82;0
SVC_rbf;0,86;0,88;1465;87,27;74,47
SVC_sigmoid;0,78;0,79;1465;79,09;58,23
SGD;0,82;0,84;1465;82,95;65,76
MLP;0,84;0,85;1465;85;70
RandomForest;0,83;0,84;1465;83,41;66,89
AdaBoost;0,7;0,8;1465;75,91;50,71
Vote;0,86;0,86;1465;86,14;72,31
LogisticRegression;0,85;0,86;1465;86,14;72,28
NaiveBayes;0,83;0,8;1465;81,59;63,5
MultinomialNB;0,83;0,82;1465;82,5;65,25
BernoulliNB;0,81;0,75;1465;78,18;57,07
LinearSVC;0,84;0,84;1465;83,86;67,82
SVC_linear;0,83;0,83;1465;82,95;66,05
SVC_poly;0,64;0;1465;47,27;0
SVC_rbf;0,85;0,85;1465;85,23;70,48
SVC_sigmoid;0,77;0,78;1465;77,27;54,55
SGD;0,84;0,85;1465;84,77;69,52
MLP;0,86;0,86;1465;85,68;71,43
RandomForest;0,82;0,8;1465;81,36;63,11
AdaBoost;0,66;0,8;1465;74,77;48,25
Vote;0,86;0,86;1465;86,14;72,35
LogisticRegression;0,85;0,86;1465;86,14;72,28
NaiveBayes;0,83;0,8;1465;81,59;63,5
MultinomialNB;0,83;0,82;1465;82,5;65,25
BernoulliNB;0,81;0,75;1465;78,18;57,07
LinearSVC;0,84;0,84;1465;83,86;67,82
SVC_linear;0,83;0,83;1465;82,95;66,05
SVC_poly;0,64;0;1465;47,27;0
SVC_rbf;0,85;0,85;1465;85,23;70,48
SVC_sigmoid;0,77;0,78;1465;77,27;54,55
SGD;0,84;0,85;1465;84,77;69,52
MLP;0,86;0,86;1465;85,68;71,43
RandomForest;0,82;0,8;1465;81,36;63,11
AdaBoost;0,66;0,8;1465;74,77;48,25
Vote;0,86;0,86;1465;86,14;72,35
LogisticRegression;0,83;0,83;1465;82,95;65,94
NaiveBayes;0,85;0,82;1465;83,18;66,47
MultinomialNB;0,84;0,82;1465;82,73;65,55
BernoulliNB;0,84;0,78;1465;81,36;62,91
LinearSVC;0,85;0,84;1465;84,32;68,67
SVC_linear;0,84;0,84;1465;83,86;67,76
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,86;0,85;1465;85,45;70,92
SVC_sigmoid;0,8;0,8;1465;80;60,03
SGD;0,81;0,81;1465;81,14;62,29
MLP;0,84;0,84;1465;83,86;67,75
RandomForest;0,83;0,83;1465;83,41;66,82
AdaBoost;0,7;0,79;1465;75;49,7
Vote;0,83;0,82;1465;82,95;65,95
LogisticRegression;0,82;0,82;1465;82,73;65,47
NaiveBayes;0,82;0,78;1465;80;60,15
MultinomialNB;0,82;0,79;1465;80,68;61,49
BernoulliNB;0,81;0,75;1465;78,41;57,04
LinearSVC;0,81;0,8;1465;80,68;61,4
SVC_linear;0,79;0,79;1465;79,32;58,67
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,82;0,83;1465;82,73;65,45
SVC_sigmoid;0,77;0,77;1465;77,5;55
SGD;0,82;0,81;1465;82,05;64,12
MLP;0,83;0,83;1465;83,18;66,36
RandomForest;0,81;0,8;1465;80,23;60,51
AdaBoost;0,66;0,76;1465;71,36;42,37
Vote;0,83;0,82;1465;82,95;65,95
LogisticRegression;0,85;0,86;1465;85,91;71,81
NaiveBayes;0,84;0,82;1465;82,73;65,55
MultinomialNB;0,84;0,82;1465;82,73;65,52
BernoulliNB;0,83;0,8;1465;81,36;62,87
LinearSVC;0,82;0,83;1465;82,95;65,9
SVC_linear;0,81;0,82;1465;82,05;64,06
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,85;0,86;1465;85,68;71,35
SVC_sigmoid;0,77;0,79;1465;78,64;57,23
SGD;0,81;0,82;1465;82,05;64,06
MLP;0,86;0,85;1465;85,45;70,92
RandomForest;0,79;0,75;1465;77,27;54,7
AdaBoost;0,7;0,8;1465;75,91;51,47
Vote;0,85;0,85;1465;84,77;69,56
LogisticRegression;0,83;0,83;1465;82,95;65,94
NaiveBayes;0,85;0,82;1465;83,18;66,47
MultinomialNB;0,84;0,82;1465;82,73;65,55
BernoulliNB;0,84;0,78;1465;81,36;62,91
LinearSVC;0,85;0,84;1465;84,32;68,67
SVC_linear;0,84;0,84;1465;83,86;67,76
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,86;0,85;1465;85,45;70,92
SVC_sigmoid;0,8;0,8;1465;80;60,03
SGD;0,81;0,81;1465;81,14;62,29
MLP;0,84;0,84;1465;83,86;67,75
RandomForest;0,83;0,83;1465;83,41;66,82
AdaBoost;0,7;0,79;1465;75;49,7
Vote;0,83;0,82;1465;82,95;65,95
LogisticRegression;0,82;0,82;1465;82,73;65,47
NaiveBayes;0,82;0,78;1465;80;60,15
MultinomialNB;0,82;0,79;1465;80,68;61,49
BernoulliNB;0,81;0,75;1465;78,41;57,04
LinearSVC;0,81;0,8;1465;80,68;61,4
SVC_linear;0,79;0,79;1465;79,32;58,67
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,82;0,83;1465;82,73;65,45
SVC_sigmoid;0,77;0,77;1465;77,5;55
SGD;0,82;0,81;1465;82,05;64,12
MLP;0,83;0,83;1465;83,18;66,36
RandomForest;0,81;0,8;1465;80,23;60,51
AdaBoost;0,66;0,76;1465;71,36;42,37
Vote;0,83;0,82;1465;82,95;65,95
LogisticRegression;0,85;0,86;1465;85,91;71,81
NaiveBayes;0,84;0,82;1465;82,73;65,55
MultinomialNB;0,84;0,82;1465;82,73;65,52
BernoulliNB;0,83;0,8;1465;81,36;62,87
LinearSVC;0,82;0,83;1465;82,95;65,9
SVC_linear;0,81;0,82;1465;82,05;64,06
SVC_poly;0,66;0;1465;49,09;0
SVC_rbf;0,85;0,86;1465;85,68;71,35
SVC_sigmoid;0,77;0,79;1465;78,64;57,23
SGD;0,81;0,82;1465;82,05;64,06
MLP;0,86;0,85;1465;85,45;70,92
RandomForest;0,79;0,75;1465;77,27;54,7
AdaBoost;0,7;0,8;1465;75,91;51,47
Vote;0,85;0,85;1465;84,77;69,56
LogisticRegression;0,85;0,86;1465;85,68;71,36
NaiveBayes;0,84;0,81;1465;82,27;64,61
MultinomialNB;0,84;0,82;1465;82,95;65,97
BernoulliNB;0,84;0,8;1465;82,27;64,65
LinearSVC;0,83;0,83;1465;83,41;66,83
SVC_linear;0,83;0,83;1465;83,18;66,38
SVC_poly;0,66;0;1465;49,32;0
SVC_rbf;0,82;0,83;1465;82,95;65,89
SVC_sigmoid;0,78;0,79;1465;78,64;57,25
SGD;0,83;0,83;1465;82,95;65,92
MLP;0,85;0,85;1465;85,23;70,44
RandomForest;0,81;0,83;1465;82,05;64,05
AdaBoost;0,72;0,8;1465;76,59;52,99
Vote;0,84;0,84;1465;84,55;69,1
LogisticRegression;0,84;0,85;1465;84,32;68,6
NaiveBayes;0,85;0,84;1465;84,77;69,58
MultinomialNB;0,84;0,83;1465;83,86;67,76
BernoulliNB;0,84;0,81;1465;82,73;65,53
LinearSVC;0,84;0,85;1465;84,32;68,62
SVC_linear;0,83;0,83;1465;83,41;66,81
SVC_poly;0,66;0;1465;49,32;0
SVC_rbf;0,83;0,86;1465;84,32;68,58
SVC_sigmoid;0,77;0,78;1465;77,73;55,42
SGD;0,82;0,83;1465;82,27;64,53
MLP;0,83;0,84;1465;83,41;66,79
RandomForest;0,85;0,84;1465;84,32;68,66
AdaBoost;0,68;0,79;1465;74,55;48,83
Vote;0,84;0,85;1465;84,55;69,09
LogisticRegression;0,85;0,86;1465;85,68;71,36
NaiveBayes;0,84;0,81;1465;82,27;64,61
MultinomialNB;0,84;0,82;1465;82,95;65,97
BernoulliNB;0,84;0,8;1465;82,27;64,65
LinearSVC;0,83;0,83;1465;83,41;66,83
SVC_linear;0,83;0,83;1465;83,18;66,38
SVC_poly;0,66;0;1465;49,32;0
SVC_rbf;0,82;0,83;1465;82,95;65,89
SVC_sigmoid;0,78;0,79;1465;78,64;57,25
SGD;0,83;0,83;1465;82,95;65,92
MLP;0,85;0,85;1465;85,23;70,44
RandomForest;0,81;0,83;1465;82,05;64,05
AdaBoost;0,72;0,8;1465;76,59;52,99
Vote;0,84;0,84;1465;84,55;69,1
LogisticRegression;0,84;0,85;1465;84,32;68,6
NaiveBayes;0,85;0,84;1465;84,77;69,58
MultinomialNB;0,84;0,83;1465;83,86;67,76
BernoulliNB;0,84;0,81;1465;82,73;65,53
LinearSVC;0,84;0,85;1465;84,32;68,62
SVC_linear;0,83;0,83;1465;83,41;66,81
SVC_poly;0,66;0;1465;49,32;0
SVC_rbf;0,83;0,86;1465;84,32;68,58
SVC_sigmoid;0,77;0,78;1465;77,73;55,42
SGD;0,82;0,83;1465;82,27;64,53
MLP;0,83;0,84;1465;83,41;66,79
RandomForest;0,85;0,84;1465;84,32;68,66
AdaBoost;0,68;0,79;1465;74,55;48,83
Vote;0,84;0,85;1465;84,55;69,09
LogisticRegression;0,83;0,84;1465;83,41;66,84
NaiveBayes;0,84;0,83;1465;83,64;67,24
MultinomialNB;0,84;0,82;1465;83,41;66,79
BernoulliNB;0,85;0,83;1465;84,09;68,13
LinearSVC;0,84;0,84;1465;84,09;68,19
SVC_linear;0,84;0,84;1465;84,09;68,18
SVC_poly;0,67;0;1465;50,45;0
SVC_rbf;0,85;0,85;1465;85;70,02
SVC_sigmoid;0,79;0,8;1465;79,55;59,11
SGD;0,82;0,82;1465;82,27;64,56
MLP;0,83;0,84;1465;83,64;67,31
RandomForest;0,8;0,82;1465;81,14;62,32
AdaBoost;0,65;0,77;1465;72,5;45,22
Vote;0,83;0,84;1465;83,64;67,29
LogisticRegression;0,83;0,84;1465;83,41;66,84
NaiveBayes;0,84;0,83;1465;83,64;67,24
MultinomialNB;0,84;0,82;1465;83,41;66,79
BernoulliNB;0,85;0,83;1465;84,09;68,13
LinearSVC;0,84;0,84;1465;84,09;68,19
SVC_linear;0,84;0,84;1465;84,09;68,18
SVC_poly;0,67;0;1465;50,45;0
SVC_rbf;0,85;0,85;1465;85;70,02
SVC_sigmoid;0,79;0,8;1465;79,55;59,11
SGD;0,82;0,82;1465;82,27;64,56
MLP;0,83;0,84;1465;83,64;67,31
RandomForest;0,8;0,82;1465;81,14;62,32
AdaBoost;0,65;0,77;1465;72,5;45,22
Vote;0,83;0,84;1465;83,64;67,29
LogisticRegression;0,84;0,83;1465;84,09;68,16
NaiveBayes;0,86;0,82;1465;84,32;68,21
MultinomialNB;0,86;0,82;1465;84,55;68,72
BernoulliNB;0,86;0,82;1465;84,32;68,25
LinearSVC;0,86;0,84;1465;85,45;70,81
SVC_linear;0,85;0,83;1465;84,32;68,54
SVC_poly;0;0,63;1465;46,36;0
SVC_rbf;0,85;0,84;1465;84,55;69,21
SVC_sigmoid;0,77;0,74;1465;75,91;51,63
SGD;0,84;0,82;1465;83,64;67,19
MLP;0,83;0,82;1465;82,5;64,94
RandomForest;0,86;0,82;1465;84,32;68,31
AdaBoost;0,73;0,78;1465;75,45;51,83
Vote;0,86;0,84;1465;85,45;70,75
LogisticRegression;0,84;0,83;1465;84,09;68,16
NaiveBayes;0,86;0,82;1465;84,32;68,21
MultinomialNB;0,86;0,82;1465;84,55;68,72
BernoulliNB;0,86;0,82;1465;84,32;68,25
LinearSVC;0,86;0,84;1465;85,45;70,81
SVC_linear;0,85;0,83;1465;84,32;68,54
SVC_poly;0;0,63;1465;46,36;0
SVC_rbf;0,85;0,84;1465;84,55;69,21
SVC_sigmoid;0,77;0,74;1465;75,91;51,63
SGD;0,84;0,82;1465;83,64;67,19
MLP;0,83;0,82;1465;82,5;64,94
RandomForest;0,86;0,82;1465;84,32;68,31
AdaBoost;0,73;0,78;1465;75,45;51,83
Vote;0,86;0,84;1465;85,45;70,75
LogisticRegression;0,83;0,81;977;81,97;64,22
NaiveBayes;0,82;0,78;977;80,27;61,06
MultinomialNB;0,82;0,79;977;80,95;62,35
BernoulliNB;0,8;0,73;977;77,21;55,3
LinearSVC;0,81;0,8;977;80,61;61,44
SVC_linear;0,81;0,8;977;80,61;61,44
SVC_poly;0,64;0;977;47,28;0
SVC_rbf;0,83;0,82;977;82,99;66,21
SVC_sigmoid;0,75;0,75;977;75,17;50,47
SGD;0,81;0,82;977;81,29;62,63
MLP;0,83;0,81;977;81,97;64,22
RandomForest;0,79;0,83;977;81,29;62,29
AdaBoost;0,74;0,54;977;66,33;34,71
Vote;0,83;0,82;977;82,31;64,91
LogisticRegression;0,82;0,83;977;82,99;66,04
NaiveBayes;0,85;0,83;977;84,35;69,12
MultinomialNB;0,84;0,82;977;83,33;66,97
BernoulliNB;0,82;0,74;977;78,57;58
LinearSVC;0,83;0,83;977;83,33;66,68
SVC_linear;0,83;0,83;977;83,33;66,68
SVC_poly;0,64;0;977;47,28;0
SVC_rbf;0,83;0,83;977;83,33;66,75
SVC_sigmoid;0,74;0,77;977;76,19;52,13
SGD;0,77;0,81;977;78,91;57,57
MLP;0,82;0,83;977;82,65;65,37
RandomForest;0,79;0,74;977;76,87;54,52
AdaBoost;0,62;0,78;977;71,77;42,06
Vote;0,84;0,84;977;84,35;68,8
LogisticRegression;0,81;0,81;977;80,61;61,28
NaiveBayes;0,84;0,81;977;82,65;65,62
MultinomialNB;0,84;0,82;977;83,33;66,91
